date,official_draw,internal_draw,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,source,source_url,note
2026-04-30,,,7,9,13,17,20,24,28,31,32,35,40,48,50,51,54,58,63,66,67,70,LotteryGuru,https://lottery-guru.com/azerbaijan-lottery-results/az-super-keno,
2026-05-01,,,1,3,5,14,15,17,21,24,25,27,28,33,34,35,45,47,51,53,55,63,LotteryGuru,https://lottery-guru.com/azerbaijan-lottery-results/az-super-keno,
2026-05-02,,,12,14,15,16,17,18,21,22,23,25,32,39,44,45,60,62,63,66,68,70,LotteryGuru,https://lottery-guru.com/azerbaijan-lottery-results/az-super-keno,
2026-05-03,,,7,9,11,27,33,35,39,40,41,42,44,46,47,50,52,53,56,57,60,63,LotteryGuru,https://lottery-guru.com/azerbaijan-lottery-results/az-super-keno,
2026-05-04,,,9,16,19,20,22,24,26,29,30,32,33,38,39,42,46,47,49,51,52,54,LotteryGuru,https://lottery-guru.com/azerbaijan-lottery-results/az-super-keno,
2026-05-05,,,6,8,17,20,26,27,28,36,39,41,42,45,48,50,55,58,65,66,67,69,LotteryGuru,https://lottery-guru.com/azerbaijan-lottery-results/az-super-keno,
2026-05-06,,,1,6,11,12,13,14,19,21,23,27,32,37,38,41,45,52,55,62,67,68,LotteryGuru,https://lottery-guru.com/azerbaijan-lottery-results/az-super-keno,
2026-05-07,,,2,4,16,18,21,22,25,26,28,31,32,33,36,49,50,51,52,60,62,63,LotteryGuru,https://lottery-guru.com/azerbaijan-lottery-results/az-super-keno,
2026-05-11,,1603,3,6,7,8,10,11,14,16,18,29,30,35,37,40,47,50,66,67,68,69,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-12,,1604,1,8,11,14,18,19,22,24,28,30,32,35,39,43,45,49,54,59,65,69,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-13,26203,1605,1,2,11,12,14,25,26,29,34,38,44,45,46,49,52,53,54,57,58,68,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-14,,1606,2,5,6,9,12,16,24,34,35,36,37,39,40,41,42,43,45,47,54,69,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
